Coal shipments to the electric power sector price by plant state Quarterly
https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=00000001&rank=g&freq=Q&start=200801&end=202102&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
15:30:10 GMT-0500 (EST)
Source: U.S. Energy Information Administration
Quarter,All coal : Virginia $/short ton
Q2 2021,53.96
Q1 2021,53.35
Q4 2020,55.64
Q3 2020,53.02
Q2 2020,52.27
Q1 2020,49.88
Q4 2019,60.53
Q3 2019,67.45
Q2 2019,66.41
Q1 2019,68.36
Q4 2018,59.67
Q3 2018,61.38
Q2 2018,61.53
Q1 2018,63.03
Q4 2017,61.43
Q3 2017,66.13
Q2 2017,60.12
Q1 2017,61.45
Q4 2016,64.4
Q3 2016,68.06
Q2 2016,61.96
Q1 2016,67.36
Q4 2015,68.95
Q3 2015,63.04
Q2 2015,70.35
Q1 2015,70.07
Q4 2014,73.94
Q3 2014,75.96
Q2 2014,76.93
Q1 2014,76.3
Q4 2013,75.05
Q3 2013,71.83
Q2 2013,79.09
Q1 2013,78.48
Q4 2012,79.12
Q3 2012,85.61
Q2 2012,94.43
Q1 2012,93.52
Q4 2011,87.57
Q3 2011,90.2
Q2 2011,87.83
Q1 2011,86.44
Q4 2010,82.93
Q3 2010,84.75
Q2 2010,82.13
Q1 2010,80.98
Q4 2009,77.21
Q3 2009,78.35
Q2 2009,75.59
Q1 2009,76.29
Q4 2008,69.68
Q3 2008,70.36
Q2 2008,66.04
Q1 2008,65.31
