"Series Key",ELEC.GEN.NUC-VA-98.M
"Series Name","Net generation : nuclear : Virginia : electric power (total) : monthly"
Units,"thousand megawatthours"
Frequency,M
"Start Date",200101
"End Date",202109
Source,"EIA, U.S. Energy Information Administration"

202109,2366.367
202108,2652.785
202107,2653.989
202106,2543.611
202105,1797.411
202104,1896.81
202103,2259.101
202102,2488.121
202101,2752.518
202012,2749.544
202011,2656.25
202010,2294.293
202009,2160.84
202008,2650.968
202007,2641.811
202006,2492.87
202005,2082.219
202004,2376.517
202003,2722.646
202002,2560.616
202001,2751.48
201912,2746.497
201911,2048.369
201910,2421.568
201909,2073.193
201908,2669.367
201907,2650.051
201906,2543.843
201905,2705.949
201904,2397.59
201903,2067.061
201902,2473.816
201901,2700.212
201812,2625.983
201811,2043.779
201810,2496.248
201809,2583.348
201808,2656.923
201807,2625.77
201806,2590.398
201805,2084.372
201804,2030.522
201803,2248.178
201802,2479.666
201801,2786.481
201712,2685.67
201711,2667.94
201710,2473.883
201709,2129.659
201708,2616.395
201707,2663.379
201706,2524.112
201705,2178.118
201704,2647.062
201703,2755.25
201702,2447.699
201701,2764.567
201612,2735.852
201611,2436.624
201610,2023.914
201609,2133.285
201608,2569.103
201607,2630.54
201606,2610.155
201605,2735.099
201604,2406.862
201603,2126.286
201602,2563.197
201601,2760.978
201512,2480.492
201511,1652.902
201510,2062.415
201509,2602.397
201508,2668.91
201507,2213.178
201506,2592.577
201505,2128.721
201504,2300.976
201503,2213.149
201502,2435.854
201501,2708.787
201412,2541.898
201411,2668.207
201410,2408.794
201409,2053.565
201408,2681.393
201407,2673.486
201406,2599.67
201405,2276.114
201404,2427.05
201403,2683.699
201402,2444.91
201401,2762.191
201312,2762.961
201311,2221.845
201310,2153.139
201309,2076.925
201308,2682.312
201307,2667.603
201306,2611.418
201305,2131.319
201304,2092.761
201303,2757.793
201302,2447.906
201301,2720.249
201212,2678.366
201211,2011.761
201210,2380.276
201209,2604.91
201208,2642.979
201207,2647.132
201206,2461.811
201205,2120.491
201204,1778.221
201203,2158.756
201202,2545.947
201201,2692.74
201112,2717.236
201111,1733.408
201110,1283.124
201109,1216.521
201108,2254.97
201107,2622.716
201106,2090.365
201105,2056.903
201104,2145.482
201103,2667.268
201102,2102.653
201101,2657.351
201012,2623.808
201011,1863.284
201010,1317.326
201009,2034.39
201008,2569.333
201007,2354.32
201006,2249.584
201005,2500.071
201004,1851.471
201003,2320.974
201002,2318.556
201001,2568.782
200912,2461.252
200911,1902.666
200910,2375.789
200909,2467.519
200908,2533.312
200907,2542.385
200906,2469.251
200905,2318.736
200904,2208.11
200903,2040.547
200902,2321.942
200901,2570.743
200812,2572.045
200811,2184.27
200810,1786.176
200809,2089.357
200808,2536.718
200807,2534.859
200806,2460.663
200805,2151.869
200804,2289.266
200803,2566.865
200802,2232.49
200801,2526.186
200712,2403.699
200711,1905.222
200710,2002.636
200709,1982.403
200708,2549.828
200707,2377.281
200706,2453.406
200705,2554.022
200704,1960.852
200703,2265.522
200702,2319.364
200701,2494.24
200612,2518.933
200611,1927.758
200610,2102.927
200609,2485.041
200608,2548.476
200607,2543.684
200606,2479.889
200605,2035.29
200604,2108.157
200603,2118.967
200602,2183.104
200601,2541.29
200512,2581.389
200511,2333.292
200510,1615.81
200509,2460.546
200508,2323.236
200507,2390.177
200506,2327.475
200505,2116.198
200504,2361.621
200503,2590.664
200502,2228.973
200501,2589.1
200412,2518.507
200411,1923.383
200410,2418.318
200409,2078.265
200408,2584.375
200407,2579.591
200406,2471.849
200405,1748.045
200404,2521.463
200403,2588.264
200402,2278.914
200401,2604.32
200312,2543.577
200311,1921.37
200310,1813.573
200309,2171.604
200308,2580.195
200307,2585.61
200306,1943.603
200305,1992.164
200304,1838.302
200303,1896.142
200302,2040.251
200301,1489.631
200212,1922.842
200211,1777.662
200210,1921.932
200209,1982.069
200208,2570.314
200207,2581.312
200206,2507.394
200205,2594.188
200204,2075.308
200203,2441.439
200202,2359.85
200201,2611.853
200112,2040.414
200111,1049.51
200110,1881.778
200109,1920.679
200108,2391.745
200107,2524.819
200106,2506.251
200105,2314.958
200104,2285.984
200103,2083.18
200102,2204.242
200101,2555.57
