Category: All categories

Month,Electricity + price: (Virginia)
2004-01,43
2004-02,43
2004-03,42
2004-04,46
2004-05,42
2004-06,43
2004-07,29
2004-08,37
2004-09,42
2004-10,40
2004-11,34
2004-12,41
2005-01,30
2005-02,38
2005-03,41
2005-04,35
2005-05,35
2005-06,37
2005-07,33
2005-08,42
2005-09,33
2005-10,36
2005-11,41
2005-12,40
2006-01,41
2006-02,35
2006-03,34
2006-04,39
2006-05,38
2006-06,35
2006-07,38
2006-08,36
2006-09,35
2006-10,35
2006-11,37
2006-12,37
2007-01,35
2007-02,35
2007-03,31
2007-04,37
2007-05,33
2007-06,36
2007-07,42
2007-08,34
2007-09,31
2007-10,32
2007-11,38
2007-12,36
2008-01,32
2008-02,30
2008-03,32
2008-04,32
2008-05,32
2008-06,33
2008-07,29
2008-08,27
2008-09,31
2008-10,32
2008-11,32
2008-12,34
2009-01,27
2009-02,27
2009-03,28
2009-04,25
2009-05,26
2009-06,24
2009-07,25
2009-08,24
2009-09,23
2009-10,24
2009-11,25
2009-12,28
2010-01,25
2010-02,23
2010-03,24
2010-04,24
2010-05,23
2010-06,26
2010-07,24
2010-08,24
2010-09,25
2010-10,24
2010-11,29
2010-12,29
2011-01,44
2011-02,45
2011-03,44
2011-04,46
2011-05,46
2011-06,43
2011-07,44
2011-08,46
2011-09,47
2011-10,43
2011-11,46
2011-12,47
2012-01,45
2012-02,47
2012-03,45
2012-04,46
2012-05,46
2012-06,44
2012-07,47
2012-08,47
2012-09,46
2012-10,47
2012-11,53
2012-12,51
2013-01,45
2013-02,50
2013-03,48
2013-04,51
2013-05,49
2013-06,51
2013-07,51
2013-08,49
2013-09,50
2013-10,50
2013-11,53
2013-12,53
2014-01,48
2014-02,49
2014-03,48
2014-04,44
2014-05,46
2014-06,47
2014-07,61
2014-08,64
2014-09,70
2014-10,80
2014-11,74
2014-12,77
2015-01,87
2015-02,86
2015-03,89
2015-04,90
2015-05,91
2015-06,87
2015-07,52
2015-08,55
2015-09,50
2015-10,52
2015-11,52
2015-12,55
2016-01,54
2016-02,55
2016-03,52
2016-04,55
2016-05,53
2016-06,56
2016-07,55
2016-08,50
2016-09,53
2016-10,52
2016-11,57
2016-12,58
2017-01,55
2017-02,60
2017-03,59
2017-04,58
2017-05,59
2017-06,64
2017-07,63
2017-08,65
2017-09,59
2017-10,63
2017-11,72
2017-12,96
2018-01,84
2018-02,71
2018-03,65
2018-04,65
2018-05,62
2018-06,63
2018-07,65
2018-08,64
2018-09,59
2018-10,60
2018-11,61
2018-12,63
2019-01,57
2019-02,58
2019-03,58
2019-04,60
2019-05,62
2019-06,64
2019-07,64
2019-08,64
2019-09,59
2019-10,56
2019-11,62
2019-12,58
2020-01,61
2020-02,67
2020-03,76
2020-04,70
2020-05,67
2020-06,71
2020-07,72
2020-08,72
2020-09,67
2020-10,69
2020-11,69
2020-12,75
2021-01,87
2021-02,98
2021-03,80
2021-04,89
2021-05,100
2021-06,84
2021-07,74
2021-08,75
2021-09,74
2021-10,79
2021-11,86
