Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
200101,2.27
200102,2.01
200103,4.45
200104,1.64
200105,4.88
200106,4.62
200107,5.21
200108,3.84
200109,2.20
200110,0.89
200111,0.59
200112,2.28
200201,2.99
200202,0.90
200203,4.39
200204,3.20
200205,3.52
200206,2.54
200207,3.97
200208,2.98
200209,3.49
200210,5.74
200211,4.80
200212,4.10
200301,2.19
200302,6.10
200303,4.33
200304,4.79
200305,7.22
200306,6.49
200307,6.15
200308,5.29
200309,8.15
200310,2.66
200311,4.35
200312,4.17
200401,1.95
200402,2.38
200403,2.17
200404,4.13
200405,4.40
200406,5.36
200407,5.81
200408,6.03
200409,7.25
200410,2.35
200411,4.21
200412,2.90
200501,3.09
200502,1.82
200503,3.80
200504,3.10
200505,3.15
200506,2.47
200507,5.65
200508,3.37
200509,0.71
200510,5.54
200511,3.66
200512,3.47
200601,3.10
200602,1.65
200603,0.70
200604,3.49
200605,2.55
200606,7.06
200607,4.11
200608,3.22
200609,6.91
200610,6.23
200611,5.28
200612,1.90
200701,3.19
200702,2.15
200703,3.29
200704,3.72
200705,2.16
200706,3.77
200707,3.09
200708,3.17
200709,1.54
200710,4.71
200711,1.05
200712,3.35
200801,1.42
200802,2.71
200803,3.23
200804,5.61
200805,4.23
200806,3.01
200807,4.05
200808,3.66
200809,4.34
200810,1.49
200811,2.89
200812,4.00
200901,2.92
200902,0.94
200903,4.01
200904,3.12
200905,6.13
200906,5.20
200907,4.07
200908,4.19
200909,3.72
200910,3.12
200911,6.68
200912,7.15
201001,4.18
201002,2.96
201003,4.61
201004,1.73
201005,4.25
201006,2.53
201007,2.82
201008,4.56
201009,5.36
201010,3.79
201011,2.00
201012,2.95
201101,1.58
201102,1.68
201103,5.28
201104,4.75
201105,4.33
201106,3.28
201107,4.16
201108,5.14
201109,6.83
201110,3.78
201111,3.86
201112,3.63
201201,2.26
201202,2.54
201203,3.87
201204,3.04
201205,4.14
201206,2.85
201207,4.63
201208,4.74
201209,4.14
201210,4.09
201211,0.67
201212,3.08
201301,5.95
201302,2.27
201303,3.70
201304,3.56
201305,4.37
201306,7.02
201307,6.46
201308,4.47
201309,1.64
201310,3.09
201311,3.03
201312,5.81
201401,2.69
201402,3.36
201403,3.29
201404,4.73
201405,4.35
201406,3.49
201407,3.82
201408,4.69
201409,2.97
201410,4.02
201411,3.13
201412,3.21
201501,2.59
201502,2.66
201503,3.75
201504,4.51
201505,2.15
201506,6.95
201507,5.05
201508,2.65
201509,5.73
201510,4.58
201511,3.92
201512,5.22
201601,2.93
201602,4.71
201603,2.05
201604,2.34
201605,6.92
201606,5.04
201607,4.82
201608,3.23
201609,5.27
201610,3.52
201611,1.37
201612,3.21
201701,3.96
201702,0.86
201703,3.17
201704,4.85
201705,7.52
201706,3.41
201707,4.13
201708,4.66
201709,2.03
201710,4.50
201711,1.36
201712,1.11
201801,2.67
201802,4.35
201803,3.17
201804,4.43
201805,7.27
201806,5.96
201807,5.39
201808,5.81
201809,7.96
201810,5.08
201811,6.08
201812,5.36
201901,3.52
201902,5.23
201903,3.31
201904,4.16
201905,3.60
201906,5.81
201907,4.51
201908,3.43
201909,0.94
201910,5.63
201911,2.48
201912,3.38
202001,3.55
202002,5.01
202003,2.93
202004,5.98
202005,4.87
202006,5.13
202007,4.07
202008,8.20
202009,6.31
202010,5.07
202011,5.15
202012,5.14
202101,3.14
