DATE,"GENERATION
(Megawatthours)",Coal (Short Tons),Natural Gas (Mcf),Other Gases (Billion BTU),Petroleum (Barrels),internet_search,AverageTemperature,Precipitation,covid,PRICE(Cents/kWh.5),coal_price,naturalgas_price,petroleum_price,nuclear_generation
2001-01-01,7117068.0,1394053.0,1744687.0,0.0,1019395.0,,34.3,2.27,0,5.86,,,,2555.57
2001-02-01,5894142.0,1225213.0,809796.0,0.0,525230.0,,41.2,2.01,0,6.03,,,,2204.242
2001-03-01,6358233.0,1312509.0,732833.0,0.0,1170501.0,,42.0,4.45,0,6.06,,,,2083.18
2001-04-01,6108458.0,1142288.0,1217777.0,0.0,1085490.0,,56.6,1.64,0,6.05,,,,2285.984
2001-05-01,5592002.0,1129454.0,1012305.0,0.0,400489.0,,63.0,4.88,0,6.17,,,,2314.958
2001-06-01,6500503.0,1243171.0,3292268.0,0.0,709766.0,,71.5,4.62,0,6.47,,,,2506.251
2001-07-01,6949851.0,1358712.0,4718582.0,0.0,706018.0,,71.9,5.21,0,6.41,,,,2524.819
2001-08-01,7732727.0,1502830.0,6954561.0,0.0,1194444.0,,75.0,3.84,0,6.57,,,,2391.745
2001-09-01,5736863.0,1209806.0,5937577.0,0.0,216865.0,,64.8,2.2,0,6.22,,,,1920.679
2001-10-01,5416467.0,1189540.0,4194421.0,0.0,147113.0,,55.2,0.89,0,6.1,,,,1881.778
2001-11-01,4875441.0,1267825.0,2654627.0,0.0,590113.0,,51.2,0.59,0,6.11,,,,1049.51
2001-12-01,5822993.0,1230777.0,2014053.0,0.0,548212.0,,43.4,2.28,0,6.07,,,,2040.414
2002-01-01,6599320.0,1315145.0,2354112.0,0.0,529326.0,,39.2,2.99,0,6.1,,,,2611.853
2002-02-01,5827870.0,1217512.0,1260347.0,0.0,398463.0,,40.5,0.9,0,6.13,,,,2359.85
2002-03-01,5834566.0,1161481.0,1460760.0,0.0,352407.0,,46.3,4.39,0,6.06,,,,2441.439
2002-04-01,5595054.0,1088632.0,3319157.0,0.0,536676.0,,57.7,3.2,0,6.1,,,,2075.308
2002-05-01,5844203.0,1133363.0,2247302.0,0.0,166345.0,,62.0,3.52,0,6.26,,,,2594.188
2002-06-01,6549836.0,1288311.0,3895712.0,0.0,712420.0,,72.9,2.54,0,6.39,,,,2507.394
2002-07-01,7647595.0,1496364.0,7251124.0,0.0,1034572.0,,76.6,3.97,0,6.61,,3.74,,2581.312
2002-08-01,7847456.0,1506845.0,7628505.0,0.0,966083.0,,75.8,2.98,0,6.54,,3.77,,2570.314
2002-09-01,6046024.0,1357092.0,4723743.0,0.0,149762.0,,69.4,3.49,0,6.22,,4.26,,1982.069
2002-10-01,5376065.0,1236178.0,2261718.0,0.0,81414.0,,57.5,5.74,0,6.03,,,,1921.932
2002-11-01,5310784.0,1245727.0,933088.0,0.0,336321.0,,44.8,4.8,0,6.11,,,,1777.662
2002-12-01,6526879.0,1522719.0,2294427.0,0.0,620368.0,,36.0,4.1,0,6.0,,,,1922.842
2003-01-01,7232320.0,1580492.0,3308643.0,0.0,1792966.0,,31.1,2.19,0,6.08,,,,1489.631
2003-02-01,6192659.0,1319096.0,1092478.0,0.0,853439.0,,34.8,6.1,0,6.1,,,,2040.251
2003-03-01,5642444.0,1152633.0,2689658.0,0.0,607177.0,,48.0,4.33,0,6.17,,,,1896.142
2003-04-01,4903213.0,829242.0,3424086.0,0.0,603591.0,,54.7,4.79,0,6.1,,,,1838.302
2003-05-01,5181811.0,1064072.0,2326548.0,0.0,187970.0,,61.7,7.22,0,6.34,,,,1992.164
2003-06-01,6128536.0,1226875.0,2576680.0,0.0,1055741.0,,68.9,6.49,0,6.47,,8.65,,1943.603
2003-07-01,7565696.0,1399902.0,5619723.0,0.0,1087013.0,,74.5,6.15,0,6.6,,6.34,,2585.61
2003-08-01,8033795.0,1485075.0,7153686.0,30.0,1274830.0,,75.5,5.29,0,6.52,,5.94,,2580.195
2003-09-01,5956786.0,1273430.0,2437614.0,0.0,426819.0,,66.7,8.15,0,6.35,,6.41,,2171.604
2003-10-01,5474527.0,1233348.0,1788902.0,0.0,264668.0,,55.2,2.66,0,6.21,,6.4,,1813.573
2003-11-01,5617124.0,1219113.0,3622750.0,0.0,59521.0,,51.5,4.35,0,6.1,,5.85,,1921.37
2003-12-01,7380509.0,1450417.0,2376170.0,0.0,1097357.0,,36.8,4.17,0,6.11,,,,2543.577
2004-01-01,7620639.0,1284017.71,3609101.91,0.0,1623250.22,43.0,32.1,1.95,0,6.33,,,,2604.32
2004-02-01,6554590.0,1170778.6,4382377.47,0.0,768188.82,43.0,36.3,2.38,0,6.23,,,,2278.914
2004-03-01,6071504.0,1049762.58,1648577.94,0.0,594710.14,42.0,47.8,2.17,0,6.27,,,,2588.264
2004-04-01,5842878.0,963720.4,2863459.94,0.0,479555.36,46.0,55.4,4.13,0,6.28,,6.9,,2521.463
2004-05-01,6494994.0,1107632.82,7861786.38,0.0,1295392.73,42.0,68.9,4.4,0,6.48,,7.38,,1748.045
2004-06-01,6742736.0,1235313.07,5371357.95,0.0,509322.96,43.0,70.8,5.36,0,6.61,,7.48,,2471.849
2004-07-01,7839799.0,1362573.0,6909006.68,0.0,1169599.29,29.0,74.6,5.81,0,6.76,,6.91,,2579.591
2004-08-01,7501908.0,1298623.67,7469739.87,0.0,734468.8,37.0,71.8,6.03,0,6.69,,6.47,,2584.375
2004-09-01,6222997.0,1272435.43,4552806.48,0.0,282473.29,42.0,67.9,7.25,0,6.54,,5.9,,2078.265
2004-10-01,5660038.0,1100681.88,1213797.97,0.0,30061.18,40.0,57.3,2.35,0,6.28,,6.46,,2418.318
2004-11-01,5495244.0,1179575.23,2388394.13,0.0,27546.69,34.0,49.5,4.21,0,6.32,,,,1923.383
2004-12-01,6852714.0,1303841.82,2157891.75,0.0,716981.58,41.0,38.2,2.9,0,6.28,,,,2518.507
2005-01-01,7352828.0,1310484.59,3668397.74,0.0,1100780.18,30.0,37.7,3.09,0,6.48,,,,2589.1
2005-02-01,6345950.0,1242278.35,3356188.47,0.0,657236.6,38.0,39.3,1.82,0,6.43,,,,2228.973
2005-03-01,6880890.0,1311608.21,3998364.21,0.0,300461.64,41.0,41.8,3.8,0,6.41,,7.15,,2590.664
2005-04-01,5694572.0,1041768.6,3531527.11,0.0,32296.59,35.0,55.0,3.1,0,6.55,,8.26,,2361.621
2005-05-01,4759872.0,859135.27,1141337.28,0.0,41787.06,35.0,59.8,3.15,0,6.5,,7.79,,2116.198
2005-06-01,6642102.0,1146376.37,8171229.49,0.0,527808.46,37.0,71.8,2.47,0,6.73,,8.08,,2327.475
2005-07-01,8157135.0,1406695.11,13138823.3,0.0,883753.93,33.0,77.1,5.65,0,6.95,,8.55,,2390.177
2005-08-01,8344747.0,1470682.37,15027153.5,0.0,1059133.94,42.0,76.3,3.37,0,6.97,,10.47,,2323.236
2005-09-01,6920626.0,1151908.1,8243927.73,0.0,790450.04,33.0,70.4,0.71,0,6.92,,12.89,,2460.546
2005-10-01,5159798.0,1095022.73,2817602.96,0.0,479404.91,36.0,58.2,5.54,0,6.52,,,,1615.81
2005-11-01,5475055.0,1071130.66,1459431.62,0.0,35056.38,41.0,48.7,3.66,0,6.53,,12.21,,2333.292
2005-12-01,7209470.0,1288390.5,3950428.08,0.0,1029457.17,40.0,35.1,3.47,0,6.47,,,,2581.389
